IRIS,total_population,elderly_55_plus,pct_elderly_55,elderly_55_plus_alone,pct_elderly_55_alone,elderly_80_plus_alone
341720101,5314.01874323906,567.857984876789,10.69,164.9272221744146,29.04,58.3566345488166
341720102,5534.32111938037,569.323331806391,10.29,193.4235002049412,33.97,40.3754408051962
341720103,2387.1582814485,296.48669287121993,12.42,95.7520328343977,32.3,14.9641224796823
341720105,3098.35559408176,531.310863537249,17.15,220.9985126073009,41.59,33.3177485726049
341720106,3978.98830089698,419.65338260529853,10.55,261.9852132584691,62.43,16.9904931129291
341720108,3709.82020576633,867.9270533147685,23.4,356.8131578164759,41.11,37.9415900618309
341720109,5602.22016996881,965.9054756179839,17.24,354.25344647155373,36.68,50.8676942628927
341720201,226.734216687937,5.27570601874976,2.33,5.27570601874976,100.0,0.0
341720202,2038.64986470475,749.949396306597,36.79,149.1145727968964,19.88,29.4552932314034
341720203,3155.65049067671,1111.860912866423,35.23,387.2746445764885,34.83,84.1355467831035
341720204,4569.0530431419,1215.0306784139689,26.59,548.591625242058,45.15,125.480716862257
341720301,2317.80031375404,678.3277524821959,29.27,148.8391668114081,21.94,33.0105346605821
341720401,4150.22516901273,931.131292162821,22.44,216.39071168081313,23.24,71.4284411462401
341720402,1646.2693342608,550.084423490169,33.41,178.77036512251658,32.5,36.2839966041496
341720403,2459.19986955156,733.99254720691,29.85,157.760568325642,21.49,35.420702497299
341720404,1718.9961049441,445.4014962153525,25.91,121.86282120886641,27.36,15.8308548937254
341720405,2123.91151609231,608.0414935294727,28.63,104.31897638306461,17.16,24.4847130885971
341720501,3328.25553091279,965.457708651466,29.01,222.859141732403,23.08,54.138699103031
341720502,2576.02701894826,926.803026781295,35.98,241.8626499896519,26.1,29.9311027092169
341720503,1682.16339182244,575.6155218498966,34.22,134.6930492478088,23.4,46.2037466072066
341720602,2410.19789043962,552.0381047172381,22.9,273.5366778193357,49.55,34.0516295057857
341720603,2024.95475496658,713.9223358846531,35.26,323.92471539565923,45.37,65.6045487912592
