code_iris,nom_iris,nom_com,heat_score
341720201,Lunaret,Montpellier,Low
341720706,Bel-Air,Montpellier,Medium
341721303,Garosud,Montpellier,Low
341721701,Tournezy,Montpellier,High
341721901,Eureka,Montpellier,Low
341720101,École d'Architecture-Triolet,Montpellier,Medium
341720102,Vert Bois,Montpellier,Low
341720103,Saint-Éloi,Montpellier,Medium
341720105,Lapeyronie,Montpellier,Medium
341720106,Occitanie,Montpellier,High
341720108,Malbosc,Montpellier,Low
341720109,Euromédecine,Montpellier,Low
341720202,Aiguelongue,Montpellier,Low
341720203,Méric,Montpellier,Low
341720204,Justice,Montpellier,Medium
341720301,Agropolis,Montpellier,Low
341720401,Blayac,Montpellier,Medium
341720402,Bologne,Montpellier,High
341720403,Oxford,Montpellier,High
341720404,Le Mail Sud,Montpellier,Medium
341720405,Le Mail Nord,Montpellier,Medium
341720501,Les Garrigues,Montpellier,Medium
341720502,Les Gémeaux,Montpellier,Medium
341720503,Les Tours,Montpellier,Medium
341720602,Celleneuve,Montpellier,Medium
341720603,La Fontaine,Montpellier,Medium
341720701,Les Tonnelles,Montpellier,Medium
341720702,Pilory,Montpellier,Medium
341720703,Alco,Montpellier,Medium
341720704,Soulas,Montpellier,Medium
341720705,Casseyrols,Montpellier,Medium
341720707,Le Petit Bard,Montpellier,Medium
341720801,La Piscine,Montpellier,Medium
341720802,Agriculture,Montpellier,Medium
341720803,Astruc,Montpellier,Medium
341720901,Les Grèzes,Montpellier,Low
341720902,Bouisses,Montpellier,Medium
341721001,La Colline,Montpellier,Medium
341721002,Notre-Dame de la Paix,Montpellier,Medium
341721101,Estanove,Montpellier,Low
341721102,Lepic,Montpellier,Medium
341721103,Parc Montcalm,Montpellier,Low
341721201,Sabathé,Montpellier,Medium
341721202,Tastavin,Montpellier,Medium
341721203,Mas Drevon-Maurin,Montpellier,Medium
341721301,Croix d'Argent,Montpellier,Medium
341721302,Marquerose,Montpellier,Medium
341721401,Bagatelle,Montpellier,Medium
341721402,Pas du Loup,Montpellier,High
341721501,Mion,Montpellier,Medium
341721502,Saint-Martin,Montpellier,Medium
341721601,Pont Trinquat,Montpellier,Medium
341721602,Aiguerelles,Montpellier,Medium
341721603,La Rauze,Montpellier,Low
341721802,Rives du Lez,Montpellier,Medium
341721803,La Lironde,Montpellier,Low
341721804,Port Marianne,Montpellier,Low
341721903,Millénaire,Montpellier,Medium
341721904,Grammont,Montpellier,Low
341722001,Pont de Sète,Montpellier,High
341722002,Méditerrannée,Montpellier,High
341722003,Saint-François,Montpellier,High
341722101,Salaison,Montpellier,Medium
341722102,Pompignane,Montpellier,Medium
341722201,Les Aubes,Montpellier,Low
341722202,Rimbaud,Montpellier,Medium
341722301,Fac de Pharmacie,Montpellier,Medium
341722302,École Normale,Montpellier,Medium
341722303,Boutonnet,Montpellier,Medium
341722304,Sainte-Odile,Montpellier,Medium
341722305,Archives Départementales,Montpellier,High
341722401,Nazareth,Montpellier,Medium
341722402,Beaux-Arts,Montpellier,Medium
341722403,Verdanson,Montpellier,High
341722501,Peyrou,Montpellier,High
341722502,Ursulines,Montpellier,High
341722503,Préfecture,Montpellier,High
341722504,Saint-Roch,Montpellier,High
341722601,Gambetta,Montpellier,High
341722602,Saint-Denis,Montpellier,High
341722701,Nombre d'Or,Montpellier,Medium
341722703,Moulin de l'Évêque,Montpellier,Medium
341722704,Place de l'Europe,Montpellier,High
341722801,La Guirlande,Montpellier,Medium
341722802,Chaptal,Montpellier,High
341722901,Assas,Montpellier,Medium
341722902,Avenue de Lodève,Montpellier,High
341723001,Comédie,Montpellier,High
