code_iris,nom_iris,nom_com,heat_score
441090209,Z.A. Cheviré-Zone Portuaire,Nantes,Low
441090507,Vieux Malakoff,Nantes,Medium
441090601,Z.A. Sainte-Anne-Zone Portuaire,Nantes,Medium
441090805,Z.A. Hauts de Gesvre,Nantes,Low
441090908,Z.A. Chantrerie-Gachet,Nantes,Low
441091012,Z.A. Le Bois Briand,Nantes,Low
441091013,Z.A. Les Mauves,Nantes,Low
441090101,Dobrée-Bon Port,Nantes,High
441090102,Gloriette-Feydeau,Nantes,High
441090103,Graslin-Commerce,Nantes,High
441090104,Guist'hau,Nantes,High
441090105,Bretagne,Nantes,High
441090106,Decré-Cathédrale,Nantes,High
441090108,Madeleine,Nantes,High
441090109,Champ de Mars,Nantes,High
441090201,Plessis Cellier-Roche Maurice,Nantes,Medium
441090202,Mendès France,Nantes,Medium
441090203,Lauriers,Nantes,Medium
441090204,Croix Bonneau-Bourderies,Nantes,Medium
441090205,Mairie de Chantenay,Nantes,Medium
441090206,Salorges-Sainte-Anne,Nantes,Medium
441090207,Jean Macé,Nantes,Medium
441090208,Boucardière-Mallève,Nantes,Medium
441090301,Durantière,Nantes,Medium
441090302,Contrie,Nantes,Medium
441090303,Dervallières-Chézine,Nantes,Medium
441090304,Joncours-Procé,Nantes,Medium
441090305,Grillaud-Procé,Nantes,Medium
441090306,Zola,Nantes,Medium
441090307,Petit Bois,Nantes,Medium
441090308,Canclaux,Nantes,Medium
441090309,Mellinet,Nantes,Medium
441090311,Gare Maritime,Nantes,Medium
441090312,Bouhier,Nantes,High
441090401,Procé,Nantes,Medium
441090402,Monselet,Nantes,Medium
441090403,Viarme,Nantes,High
441090404,Talensac-Pont Morand,Nantes,High
441090405,Hauts Pavés,Nantes,Medium
441090406,Vannes-Saint-Pasquier,Nantes,Medium
441090407,Rennes-Bellamy,Nantes,Medium
441090408,Bellamy-Barbin,Nantes,Medium
441090409,Saint-Félix,Nantes,Medium
441090410,Université-Michelet,Nantes,Medium
441090501,Caserne Mellinet,Nantes,Medium
441090502,Agenêts,Nantes,Medium
441090503,Toutes Aides,Nantes,Medium
441090504,Dalby,Nantes,Medium
441090505,Coulmiers-Jardin des Plantes,Nantes,Medium
441090506,Malakoff,Nantes,Low
441090508,Richebourg-Saint-Clément,Nantes,High
441090509,Waldeck-Sully,Nantes,Medium
441090510,Saint-Donatien,Nantes,Medium
441090511,Coudray,Nantes,Medium
441090602,République-Les Ponts,Nantes,High
441090603,Beaulieu-Mangin,Nantes,High
441090604,Île Beaulieu,Nantes,High
441090701,Carcouet,Nantes,Medium
441090702,Breil-Malville,Nantes,Medium
441090703,Route de Vannes,Nantes,Medium
441090705,Beauséjour,Nantes,Medium
441090706,Gaudinière,Nantes,Medium
441090707,Barberie,Nantes,Medium
441090708,Schuman,Nantes,Medium
441090709,Rond-Point de Rennes,Nantes,Medium
441090710,Perverie,Nantes,Medium
441090801,Pont du Cens-Côte d'Or,Nantes,Medium
441090802,Chauvinière,Nantes,Medium
441090803,Bout des Pavés-Chêne des Anglais,Nantes,Medium
441090804,Bout des Landes,Nantes,Low
441090806,Santos-Dumont,Nantes,Medium
441090807,Boissière,Nantes,Medium
441090808,Bourgeonnière-Petit Port,Nantes,Low
441090809,Jonelière-Université,Nantes,Medium
441090901,Plessis Tison,Nantes,Medium
441090902,Tortière,Nantes,Medium
441090903,Port Boyer,Nantes,Medium
441090904,Éraudière-Renaudière,Nantes,Medium
441090905,Ranzay-Grand Clos,Nantes,Medium
441090906,Beaujoire-Halvêque,Nantes,Low
441090909,Saint-Joseph-Erdre,Nantes,Low
441090910,Saint-Joseph-Bourg,Nantes,Medium
441091001,Mairie de Doulon,Nantes,Medium
441091002,Le Landreau,Nantes,Medium
441091003,Boulevard des Poilus,Nantes,Medium
441091005,Jules Verne,Nantes,Medium
441091006,La Bottière,Nantes,Medium
441091007,Pilotière,Nantes,Medium
441091008,Pin Sec,Nantes,Low
441091009,Haluchère-Perray,Nantes,Medium
441091010,Route de Sainte-Luce,Nantes,Low
441091011,Le Vieux Doulon,Nantes,Low
441091101,Grêneraie-Clos Torreau,Nantes,Medium
441091102,Saint-Jacques-Pirmil,Nantes,High
441091103,Saint-Jacques-Ripossière,Nantes,Medium
441091104,Sèvre,Nantes,Medium
441091105,Lion d'Or-Gilarderie,Nantes,Medium
