IRIS,total_population,elderly_55_plus,pct_elderly_55,elderly_55_plus_alone,pct_elderly_55_alone,elderly_80_plus_alone
060880101,1199.66881496549,632.623779312701,52.73,261.83419962226117,41.39,64.5585074968192
060880102,1053.93806352025,341.082783522042,32.36,165.5208044673221,48.53,15.5887860008491
060880103,1207.23731647512,545.437353094235,45.18,237.62954405219298,43.57,74.38916879495
060880201,1986.59746514156,850.432946441819,42.81,418.90298610624,49.26,154.471077207679
060880202,1542.19248955092,702.602443651268,45.56,292.0114268680353,41.56,74.3379481139013
060880203,1845.04434922471,811.967108042557,44.01,357.923833805341,44.08,124.573510351374
060880204,1642.01863720896,566.311485684067,34.49,277.0687950084516,48.93,67.8815400747726
060880205,1703.33296480039,742.0715606953761,43.57,322.386772503357,43.44,109.995192092562
060880206,2191.82264763404,890.204259260261,40.61,343.1885093130473,38.55,96.8345535386733
060880301,1790.34895436281,749.243163389934,41.85,331.0987654924645,44.19,74.6178831555945
060880302,1880.00509911255,764.3609882445669,40.66,279.400375029801,36.55,96.449897017015
060880303,1499.09591287523,772.2244401005139,51.51,376.073815093197,48.7,137.068453639154
060880304,2867.34532288843,1225.0219506085,42.72,565.100693414262,46.13,198.584943034044
060880305,3321.67548289846,1371.216317232454,41.28,601.9726082607369,43.9,163.165120519585
060880401,1719.36081107977,1137.8202410334789,66.18,394.61605637918854,34.68,89.1307470095775
060880402,1413.33523130312,790.112906650467,55.9,315.62035137980797,39.95,125.915937639726
060880403,2111.36749412009,1068.065781844011,50.59,428.989864051112,40.17,138.747737875508
060880404,1002.94284126553,489.01070386614003,48.76,155.3490628549061,31.77,43.1444113186171
060880501,3912.76530661692,1632.171635221375,41.71,694.1393030508309,42.53,165.881400183753
060880502,3607.25540953718,1068.846393955136,29.63,511.738591741785,47.88,115.060248043426
060880503,2042.77633751362,926.515345401482,45.36,394.973632666012,42.63,130.55032156498
060880504,2889.57601667072,1161.7749872156369,40.21,375.807936215585,32.35,114.933055548622
060880505,2018.92929774881,905.307718074403,44.84,369.535833150763,40.82,120.812271805273
060880506,2107.83703108458,991.2496513816039,47.03,391.402757808013,39.49,125.562884067705
060880507,2639.13549136199,1085.782613519822,41.14,418.243850436586,38.52,112.026053843599
060880508,1789.9281696048,649.7627990658001,36.3,313.4302955934541,48.24,80.6467728536861
060880509,1354.16942375559,441.23479425131586,32.58,150.56523246345068,34.12,39.3646079113217
060880601,2902.49635628167,882.647727144898,30.41,286.9934763283735,32.52,51.2795017534545
060880602,1280.9393370167,529.807008001346,41.36,174.0020457060717,32.84,64.8361888863337
060880603,2632.35019806289,966.20311895999,36.7,367.3411529928545,38.02,95.8259947918705
060880604,2225.05086856822,683.002872658094,30.7,345.937042730126,50.65,87.397364830037
060880605,1336.39318243452,419.7770278933206,31.41,124.3635127838648,29.63,20.1245208907258
060880701,1911.96813904487,511.0206308116189,26.73,151.03820658075,29.56,31.638939696151
060880702,2966.58550346422,818.3959489768515,27.59,197.2361255616276,24.1,52.2556339493436
060880801,1217.21554172641,514.9643351509199,42.31,105.8185317641709,20.55,28.9186623663189
060880901,2275.17458769255,632.387460382675,27.8,154.2734740153825,24.4,21.1516804486365
060880902,1806.95433443724,573.0122470603621,31.71,122.1796563633729,21.32,16.2452867720009
060880903,1271.53172880749,461.3959985872668,36.29,119.52952375416479,25.91,24.7203107093738
060880904,1754.62938924516,466.8685813784777,26.61,137.1819366197003,29.38,17.5451437006103
060880905,2313.19514649931,644.215868680148,27.85,172.4365248978714,26.77,69.3420452670674
060881001,1848.93247596835,1089.946138499985,58.95,468.40028358168297,42.97,263.21395478308
060881002,1916.74848102435,905.575464522413,47.25,341.094117604891,37.67,108.831381997261
060881003,1396.74732498033,724.680468352675,51.88,255.5564735705463,35.26,57.7763270122003
060881004,2405.70023580196,1142.285479847573,47.48,364.028613783888,31.87,110.419661823537
060881005,2739.02727507514,1371.624949693703,50.08,446.96105373141097,32.59,118.878863804709
060881101,2729.32795231027,1111.150723889992,40.71,571.926783395206,51.47,158.593327594891
060881102,2481.59648433232,1082.0347147710731,43.6,489.431525298824,45.23,138.409833235551
060881103,2577.5085068079,1029.792309718078,39.95,370.336758454319,35.96,135.583747708131
060881104,1730.07453484495,840.903038159328,48.61,337.1241213990358,40.09,89.7695427754698
060881105,1843.20095675484,786.977426517836,42.7,344.5814148336793,43.79,77.1607766894373
060881201,2255.53725355945,1033.453176758172,45.82,367.667862244098,35.58,141.817156409218
060881202,1399.93323222057,634.3418356418019,45.31,182.2647507430355,28.73,87.7393937784941
060881203,1844.12360141776,850.624354555863,46.13,295.6445252073367,34.76,80.4787878930687
060881204,2608.5492850175,1158.020475078689,44.39,427.81168961100195,36.94,150.951635244379
060881301,1856.87610877962,692.305431242444,37.28,314.7529511865489,45.46,66.3332016969089
060881302,2639.06680352626,1276.381854109426,48.36,517.342051008374,40.53,182.970644203252
060881303,1980.55774994541,931.611400422431,47.04,405.558067845864,43.53,112.201940060293
060881304,1910.27626559602,990.405486752765,51.85,411.13140392991795,41.51,130.449154602177
060881305,2197.19725094149,965.351260878595,43.94,399.2282741578611,41.36,85.8113912600141
060881306,1513.98280911582,725.220386979774,47.9,334.067914361103,46.06,118.356895919791
060881307,2127.307254804,904.61971915816,42.52,284.31136653902354,31.43,80.9049796019255
060881308,2043.93453744677,961.993331676358,47.07,414.36758548059095,43.07,119.750398530122
060881309,2112.70221446233,872.908706805791,41.32,435.999892862828,49.95,126.228891646047
060881401,1993.90429958888,859.389813458642,43.1,353.320626970588,41.11,116.891790930828
060881402,1838.6632323728,786.5786322808469,42.78,365.573448244863,46.48,100.439178256098
060881403,2090.34213730597,986.245985824875,47.18,404.79809839204603,41.04,142.203479522461
060881404,1320.05995523317,618.37808825977,46.84,284.79865955651877,46.06,50.3862044083178
060881501,1721.92648204609,517.8590381888329,30.07,251.1884863707159,48.51,47.3019109635999
060881502,1808.52635070059,861.1407708224599,47.62,439.193689000183,51.0,139.682422317953
060881503,1750.65271846204,608.94689871481,34.78,295.5649414565114,48.54,73.1500301608574
060881504,1666.13581637819,740.689906013158,44.46,364.13701558988,49.16,109.141040526043
060881505,2128.05821675265,862.223674251254,40.52,390.4566439878957,45.28,84.7491702174587
060881506,1893.10086015717,730.730490909487,38.6,297.3539321563429,40.69,98.1167252460979
060881601,1736.66947322342,852.118927704905,49.07,276.1051663049128,32.4,76.9250783520188
060881602,2179.29011723752,894.9308398971539,41.07,268.5841077472225,30.01,65.2994333814235
060881603,2703.1356367069,1150.8996192789518,42.58,427.34791026952297,37.13,109.925536712439
060881604,2450.38028827277,1354.001843502579,55.26,452.867378543825,33.45,142.213309945268
060881605,1427.72425364268,791.000095658241,55.4,313.3228934275939,39.61,99.8200903700149
060881606,2272.3309610005,962.2890678521479,42.35,302.4520203287612,31.43,85.3498548273702
060881701,1360.91455763276,552.986555216331,40.63,226.7307604222079,41.0,87.8185869967129
060881702,1877.40219152186,750.712011876491,39.99,300.0113901139433,39.96,80.1051978619883
060881703,1619.57953207621,411.46811846539083,25.41,224.81452749370442,54.64,56.6182668241364
060881704,1815.58197959216,723.18031188479,39.83,233.272235959471,32.26,57.305796066315
060881705,1657.18548797442,756.831227010393,45.67,308.2516034362871,40.73,84.4995054614541
060881801,54.902360825878,30.9349117880669,56.35,8.38047426237303,27.09,8.38047426237303
060881802,1780.11746895982,730.0826313081379,41.01,275.8369912952693,37.78,43.5931534600153
060881803,1786.8231521773,662.958725695781,37.1,282.7314661424269,42.65,72.7614052133229
060881804,2575.35506612317,915.096546830565,35.53,450.53496294275897,49.23,165.97315928463
060881805,2000.51588159374,715.427587956759,35.76,322.7234851769342,45.11,99.9807124832942
060881901,2093.21153346936,736.931504897761,35.21,214.92263164834029,29.16,42.7566002552583
060881902,1686.1889975464,761.228505128945,45.14,333.914998650156,43.87,105.207374660571
060881903,2007.47624891811,892.612388453046,44.46,438.173419999516,49.09,130.603630987616
060882001,2015.35070607435,1033.7320717607631,51.29,312.3754902600134,30.22,92.9605163700574
060882002,1879.88825675352,763.5929268249599,40.62,318.9722734033955,41.77,74.0075903595985
060882101,1910.20249518414,785.318568827866,41.11,304.649360937798,38.79,85.447144438516
060882102,2457.13534126034,841.786067129865,34.26,325.7561774663926,38.7,66.0091299393236
060882103,2294.94425116748,700.184460898484,30.51,230.9817806368061,32.99,41.8732838784091
060882104,1383.15354999951,528.18840325062,38.19,222.9632238291873,42.21,67.2067517440953
060882201,1220.15994171752,583.047457669957,47.78,311.754427521899,53.47,100.46249100248
060882202,2013.20095321595,765.986589972356,38.05,328.645077844378,42.9,100.914629756796
