IRIS,total_population,elderly_55_plus,pct_elderly_55,elderly_55_plus_alone,pct_elderly_55_alone
751010101,953.06479928226,264.8273183672437,27.79,135.1447807524583,51.03
751010102,136.916274818899,63.3118967724389,46.24,46.049794939347905,72.73
751010103,292.551531285044,116.57570437475852,39.85,42.361754248895906,36.34
751010104,0.0,0.0,,0.0,
751010105,0.0,0.0,,0.0,
751010199,0.0,0.0,,0.0,
751010201,2018.35810617977,667.218334987835,33.06,318.2617808082441,47.7
751010202,1484.12931955712,413.70010748405423,27.87,220.4610023120671,53.29
751010203,2148.56049740959,672.506091413675,31.3,277.7850646276285,41.31
751010204,1747.72150036666,516.2127358237973,29.54,193.9212200457219,37.57
751010205,0.0,0.0,,0.0,
751010206,507.089065593866,168.3025288986656,33.19,91.6179775922685,54.44
751010301,2263.76877766413,770.596584035672,34.04,317.2543121836792,41.17
751010302,155.061126429484,73.05285950531959,47.11,17.0666983303589,23.36
751010303,255.125291884866,97.7394078426156,38.31,24.1425488893183,24.7
751010401,953.326031275068,410.40858989630766,43.05,151.3823075902194,36.89
751010402,1069.91048723792,468.4992258602251,43.79,219.297690526925,46.81
751020501,793.84765411949,206.8993162996966,26.06,83.0996174895923,40.16
751020502,256.472043710701,91.54504054937581,35.69,39.289956958861296,42.92
751020503,99.6274677739994,21.45368882152126,21.53,5.3913984766619905,25.13
751020601,1394.4717163524,395.9353583368709,28.39,144.9686167117792,36.61
751020602,1218.8158813038,307.8940601863813,25.26,119.6548164169262,38.86
751020701,1522.745650384,429.5859441117604,28.21,178.4821513595562,41.55
751020702,1709.66183093164,364.9843427429942,21.35,147.6690425290204,40.46
751020703,1708.85898272486,376.6647442407523,22.04,153.5956042767829,40.78
751020704,612.963716101581,157.1440143404714,25.64,59.47314466417269,37.85
751020801,1709.68904693794,437.09415156827316,25.57,168.5069846430177,38.55
751020802,1620.74676758215,530.167660968056,32.71,230.3766280398034,43.45
751020803,1695.48738544468,406.22300410635864,23.96,223.423559834386,55.0
751020804,1753.84100612474,357.4141352106477,20.38,203.2971855589607,56.88
751020805,1953.72807036933,443.71778253403215,22.71,183.24921805207023,41.3
751030901,1717.89254243504,526.9453221623633,30.67,219.1592326769507,41.59
751030902,1606.11906237366,273.0164465660442,17.0,143.4636067115851,52.55
751030903,1574.32926212364,491.7515701811755,31.24,193.908057445518,39.43
751030904,1543.57175393477,337.41995494999946,21.86,151.518848521539,44.91
751030905,1429.10402282298,368.8761617882801,25.81,167.8416731026733,45.5
751031001,1744.72297569065,440.7626086093046,25.26,231.38254132814208,52.5
751031002,1799.31688903804,486.5673821457358,27.04,176.36810306151767,36.25
751031003,2147.88410873407,652.0234877844018,30.36,323.86455059254297,49.67
751031004,1666.28392496093,395.4485914573894,23.73,150.8131013069071,38.14
751031101,2026.9161765041,606.231986747435,29.91,237.0413572297566,39.1
751031102,1721.75373384836,732.442260951867,42.54,226.03626946004817,30.86
751031103,1367.76777238298,573.65380500165,41.94,250.6800022830693,43.7
751031104,2259.02362697149,741.005494908504,32.8,334.9102304774441,45.2
751031201,1716.27430558379,525.7868273827307,30.64,209.80218569129292,39.9
751031202,1648.60047099935,652.199190271951,39.56,309.6019254624784,47.47
751031203,1590.91095910709,522.4824231122964,32.84,248.3918709291947,47.54
751031204,1820.95216632612,479.3167940138732,26.32,211.0436960851749,44.03
751041301,1605.09916871272,553.1294068939017,34.46,241.0060334932367,43.57
751041302,2020.09625323288,549.068608075811,27.18,221.5414371633624,40.35
751041303,1506.67015371464,430.3975897873487,28.57,173.8592457906649,40.4
751041304,270.622071577793,83.9048320520032,31.0,30.2504536005899,36.05
751041305,0.0,0.0,,0.0,
751041399,0.0,0.0,,0.0,
751041401,2647.07554694962,1060.367687321798,40.06,547.4463759692969,51.63
751041402,1859.81334789631,580.7107667582095,31.22,247.915565062629,42.69
751041403,2345.0439307352,754.004463789795,32.15,290.7866338533749,38.57
751041404,1647.98432695177,600.478463069253,36.44,235.2315372888053,39.17
751041499,0.0,0.0,,0.0,
751041501,3076.71195409997,985.59622150267,32.03,382.01510792984595,38.76
751041502,1529.17564359217,550.263374660261,35.98,234.71937206461462,42.66
751041503,1694.67238257642,563.021295625706,33.22,202.0470523903648,35.89
751041504,1737.8191031094,546.167069384119,31.43,283.4733741393783,51.9
751041588,0.0,0.0,,0.0,
751041599,0.0,0.0,,0.0,
751041601,2449.77450044739,807.7350605068509,32.97,326.0627241459017,40.37
751041602,522.870829458562,215.2897715248947,41.17,85.3606908460476,39.65
751041603,115.464396751433,28.1595564630144,24.39,3.32272501864085,11.8
751041699,0.0,0.0,,0.0,
751051701,2013.48385352575,674.329506485135,33.49,287.7427477410498,42.67
751051702,1517.18819498004,476.75079780003,31.42,176.03273317196349,36.92
751051703,2188.77858537306,631.699889358198,28.86,249.27035499597952,39.46
751051704,2624.5217872563,832.554231659851,31.72,363.521427091291,43.66
751051705,1864.95948245744,672.939101541695,36.08,261.48545773707497,38.86
751051706,61.4635574287564,17.96662102181416,29.23,2.10459807167252,11.71
751051799,0.0,0.0,,0.0,
751051801,1550.26019010947,559.082232501764,36.06,227.0528998921135,40.61
751051802,2140.80277443592,734.949831406143,34.33,212.7530797383997,28.95
751051803,1743.6722595563,561.7702429691165,32.22,233.1604922031243,41.5
751051804,1740.89115693653,634.322136791645,36.44,261.3699564201511,41.2
751051805,2805.61855182308,1120.841934854734,39.95,481.447777167866,42.95
751051806,1829.96742105935,707.935478126049,38.69,314.6641485923712,44.45
751051807,1820.84271901512,580.3829123569666,31.87,284.0475819348811,48.94
751051808,1218.09254435746,406.1807559473066,33.35,199.3215255110344,49.07
751051809,4.00003171919644,1.00000792979911,25.0,0.0,0.0
751051899,70.3338910625371,7.33339148519344,10.43,0.0,0.0
751051901,2543.41479553653,921.659293856894,36.24,320.2823326790271,34.75
751051902,1523.35193707413,565.2869031706321,37.11,207.1511926623973,36.65
751051903,2029.00504468386,609.482404552266,30.04,241.8271712686806,39.68
751051904,1624.51077982941,473.832205658731,29.17,108.3745231757954,22.87
751051905,2162.62457228545,739.2118623726881,34.18,249.2397707281854,33.72
751051906,1931.63768733736,738.20339313992,38.22,279.1904565901091,37.82
751051907,2097.75026915702,694.5278229523291,33.11,260.2609271678358,37.47
751051908,2612.47610275588,865.549620535526,33.13,339.4041801193865,39.21
751052001,2181.55458237595,598.6261790090941,27.44,286.2804974691309,47.82
751052002,1469.16205069268,481.35629554515583,32.76,151.14777493192042,31.4
751052003,1542.6303929585,495.679456563992,32.13,239.16713173632368,48.25
751052004,2625.28987466948,959.706620134199,36.56,448.647620809471,46.75
751052005,447.643120391486,51.10636355920457,11.42,14.547415417462371,28.46
751052099,0.0,0.0,,0.0,
751062101,1676.23807518702,654.689683686796,39.06,238.62598942496703,36.45
751062102,1880.34622182762,615.745479344703,32.75,301.6410298545694,48.99
751062103,1637.03132756466,663.311787396059,40.52,271.0833884315538,40.87
751062199,0.0,0.0,,0.0,
